Название_позиции,Ключевые_слова,Описание,Тип_товара,Цена,Валюта,Единица_измерения,Ссылка_изображения,Наличие,Идентификатор_товара
Мансардное окно FAKRO Profi FTP-V U3 78x98 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>Модель FAKRO FTP-V U3 – окно со среднеповоротным способом открывания, изготовленное с применением системы безопасности topSafe, которая обеспечивает дополнительную защиту от взлома. Окно оборудовано автоматическим антиконденсатным вентиляционным клапаном V40Р и оснащено однокамерным энергосберегающим морозостойким стеклопакетом, в котором внешнее стекло – закаленное, внутреннее – с низкоэмиссионным покрытием. FTP-V U3 – в наличии до исчерпания складских запасов.</p> <p>В нашем интернет-магазине Вы также найдете шторки, маркизеты, ролеты к мансанрдным окнам любых размеров и видов.</p></div>",u,"6 762,60",UAH,шт,https://images.ua.prom.st/494627686_w640_h640_cid1051305_pid347436392-e1c9df75.jpg,+,664950804
Штора ARS для мансардных окон FAKRO 66X98 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Штора ARS сокращает доступ света и дополняет интерьер помещения. Три пары креплений позволяют зафиксировать штору в разных положениях. Алюминиевая планка закрывает валик шторы, придавая конструкции эстетичный вид. Изготавливаeтся из полиэстеровой ткани.</p> <p>Большой выбор расцветок (однотонных и с рисунком), позволяет подобрать вариант, соответствующий дизайну помещения.</p> <p>В нашем магазине Вы найдете шторы ARS следующих цветов: белый, серый, светло-серый, бежевый, лимонный, оранжевый.</p></div>",u,819,UAH,шт,https://images.ua.prom.st/494627514_w640_h640_cid1051305_pid347436571-6b76ad22.jpg,+,388205351
Гидроизоляционный оклад FAKRO EZV-P 78x98 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Оклад для профильных кровельных покрытий EZV-P позволяет соединить окно с профилированным кровельным материалом: черепица, металлочерепица.</p></div>",u,"1 450,80",UAH,шт,https://images.ua.prom.st/494627511_w640_h640_cid1051305_pid347436568-23ac4cfd.jpg,+,170617592
Мансардное окно FAKRO Standart FTS-V U2 66x118 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Модель FTS-V U2 оснащена энергосберегающим стеклопакетом U2 с внешним закаленным стеклом и вентклапаном V10. </p> <p>Технические характеристики:</p> <ul> <li>Однокамерный энергосберегающий морозостойкий стеклопакет.</li> <li>Безопасность: во всех моделях внешнее стекло – закаленное. Применение специальных предохранителей не позволяет извлечь стеклопакет. Ручка, позволяющая фиксировать створку для проветривания, препятствует проникновению в помещение при открытом окне.</li> <li>Долговечность: изготовлены из высококачественной древесины сосны без сучков, пропитанной антисептиком в вакуумной камере и покрытой 2 слоями полиакрилового лака на водной основе.</li> <li>Всепогодная вентиляция: модель  --- FTS-V U2 оснащена эксклюзивным вентиляционным клапаном V10.</li> <li>Функциональность: удобная ручка, расположенная в нижней части оконной створки, позволяет легко открывать-закрывать мансардное окно и фиксировать его в двух положениях проветривания.</li> <li>Монтируются в крышу с углом наклона от 15 до 90°. </li> <li>Комплектуются изоляционным окладом, выбор которого зависит от типа кровельного покрытия. </li> <li>Окна дополняются широкой гаммой аксессуаров и приспособлений.</li> <li>Благодаря системе безопасности FAKRO topSafe окна для крыши соответствуют самым строгим Европейским нормам безопасности, являются одними из самых безопасных на рынке.</li> </ul></div>",u,"5 007,60",UAH,шт,https://images.ua.prom.st/494627689_w640_h640_cid1051305_pid347436395-2ed12514.jpg,+,601807119
Мансардное окно FAKRO Standart FTS-V U2 78x140 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Модель FTS-V U2 оснащена энергосберегающим стеклопакетом U2 с внешним закаленным стеклом и вентклапаном V10. </p> <p>Технические характеристики:</p> <ul> <li>Однокамерный энергосберегающий морозостойкий стеклопакет.</li> <li>Безопасность: во всех моделях внешнее стекло – закаленное. Применение специальных предохранителей не позволяет извлечь стеклопакет. Ручка, позволяющая фиксировать створку для проветривания, препятствует проникновению в помещение при открытом окне.</li> <li>Долговечность: изготовлены из высококачественной древесины сосны без сучков, пропитанной антисептиком в вакуумной камере и покрытой 2 слоями полиакрилового лака на водной основе.</li> <li>Всепогодная вентиляция: модель  --- FTS-V U2 оснащена эксклюзивным вентиляционным клапаном V10.</li> <li>Функциональность: удобная ручка, расположенная в нижней части оконной створки, позволяет легко открывать-закрывать мансардное окно и фиксировать его в двух положениях проветривания.</li> <li>Монтируются в крышу с углом наклона от 15 до 90°. </li> <li>Комплектуются изоляционным окладом, выбор которого зависит от типа кровельного покрытия. </li> <li>Окна дополняются широкой гаммой аксессуаров и приспособлений.</li> <li>Благодаря системе безопасности FAKRO topSafe окна для крыши соответствуют самым строгим Европейским нормам безопасности, являются одними из самых безопасных на рынке.</li> </ul></div>",u,"6 130,80",UAH,шт,https://images.ua.prom.st/494627692_w640_h640_cid1051305_pid347436398-75bc7f1e.jpg,+,708008669
Штора ARS для мансардных окон FAKRO 78X118 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Штора ARS сокращает доступ света и дополняет интерьер помещения. Три пары креплений позволяют зафиксировать штору в разных положениях. Алюминиевая планка закрывает валик шторы, придавая конструкции эстетичный вид. Изготавливаeтся из полиэстеровой ткани.</p> <p>Большой выбор расцветок (однотонных и с рисунком), позволяет подобрать вариант, соответствующий дизайну помещения.</p> <p>В нашем магазине Вы найдете шторы ARS следующих цветов: белый, серый, светло-серый, бежевый, лимонный, оранжевый.</p></div>",u,936,UAH,шт,https://images.ua.prom.st/494627517_w640_h640_cid1051305_pid347436574-974c7a0b.jpg,+,89307560
Выход на крышу FAKRO FWL U3 левый 66X118 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Термоизоляционные окна FAKRO FWR/FWL имеют боковой способ открывания (на угол до 90°) и предназначены для установки в жилых отапливаемых помещениях. Окно может иметь правое FWL U3 (ручка слева) или левое FWR U3 (ручка справа) открывание. </p> <p>Окно оборудовано удобной ручкой, герметично закрывающей и фиксирующей его в двух положениях проветривания. Большие размеры позволяют легко и без риска выходить на крышу для ее обслуживания (ремонта кровли, очистки от снега или листьев).</p></div>",u,8 073,UAH,шт,https://images.ua.prom.st/494627520_w640_h640_cid1051305_pid347436577-f2b77ad0.jpg,+,69639220
Гидроизоляционный оклад FAKRO ESV 78x118 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Оклад для плоских кровельных покрытий FAKRO ESV позволяет соединить окно с плоскими кровельными материалами: еврорубероид, кровельное железо,  ---епица.</p> ---</div>",u,"1 263,60",UAH,шт,https://images.ua.prom.st/494627507_w640_h640_cid1051305_pid347436565-8e1f1732.jpg,+,189552745
Выход на крышу FAKRO FWR U3 правый 66X118 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Термоизоляционные окна FAKRO FWR/FWL имеют боковой способ открывания (на угол до 90°) и предназначены для установки в жилых отапливаемых помещениях. Окно может иметь правое FWL U3 (ручка слева) или левое FWR U3 (ручка справа) открывание. </p> <p>Окно оборудовано удобной ручкой, герметично закрывающей и фиксирующей его в двух положениях проветривания. Большие размеры позволяют легко и без риска выходить на крышу для ее обслуживания (ремонта кровли, очистки от снега или листьев).</p></div>",u,8 073,UAH,шт,https://images.ua.prom.st/494627523_w640_h640_cid1051305_pid347436580-4b4e9461.jpg,+,911456656
Штора ARS для мансардных окон FAKRO 66X118 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Штора ARS сокращает доступ света и дополняет интерьер помещения. Три пары креплений позволяют зафиксировать штору в разных положениях. Алюминиевая планка закрывает валик шторы, придавая конструкции эстетичный вид. Изготавливаeтся из полиэстеровой ткани.</p> <p>Большой выбор расцветок (однотонных и с рисунком), позволяет подобрать вариант, соответствующий дизайну помещения.</p> <p>В нашем магазине Вы найдете шторы ARS следующих цветов: белый, серый, светло-серый, бежевый, лимонный, оранжевый.</p></div>",u,819,UAH,шт,https://images.ua.prom.st/494627515_w640_h640_cid1051305_pid347436572-647f920b.jpg,+,109647280
Гидроизоляционный оклад для окон-вылазов FAKRO ESW 66x118 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Изоляционный оклад - обязательный элемент для всех мансардных окон, обеспечивающий герметичную установку окна в крышу.</p> <p>Изоляционный оклад подбирается в зависимости от вида кровельного покрытия - для плоских кровельных материалов (фальцевая кровля, битумная черепица и др.) или для  ---металлочерепица, профнастил и др.). </p></div>",u,"1 567,80",UAH,шт,https://images.ua.prom.st/494631642_w640_h640_cid1051305_pid347436583-a03f59dd.jpg,+,695854576
Гидроизоляционный оклад FAKRO EZV-P 78x118 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Оклад для профильных кровельных покрытий EZV-P позволяет соединить окно с профилированным кровельным материалом: черепица, металлочерепица.</p></div>",u,"1 591,20",UAH,шт,https://images.ua.prom.st/494627512_w640_h640_cid1051305_pid347436569-d272966a.jpg,+,753389278
Выход на крышу FAKRO FWL U3 левый 78x118 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Термоизоляционные окна FAKRO FWR/FWL имеют боковой способ открывания (на угол до 90°) и предназначены для установки в жилых отапливаемых помещениях. Окно может иметь правое FWL U3 (ручка слева) или левое FWR U3 (ручка справа) открывание. </p> <p>Окно оборудовано удобной ручкой, герметично закрывающей и фиксирующей его в двух положениях проветривания. Большие размеры позволяют легко и без риска выходить на крышу для ее обслуживания (ремонта кровли, очистки от снега или листьев).</p></div>",u,"9 289,80",UAH,шт,https://images.ua.prom.st/494627521_w640_h640_cid1051305_pid347436578-b1bb34c0.jpg,+,958748352
Гидроизоляционный оклад FAKRO ESV 66x118 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Оклад для плоских кровельных покрытий FAKRO ESV позволяет соединить окно с плоскими кровельными материалами: еврорубероид, кровельное железо,  ---епица.</p> ---</div>",u,"1 146,60",UAH,шт,https://images.ua.prom.st/494627505_w640_h640_cid1051305_pid347436563-50e74289.jpg,+,462293917
Мансардное окно FAKRO Profi FTP-V U3 78x118 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>Модель FAKRO FTP-V U3 – окно со среднеповоротным способом открывания, изготовленное с применением системы безопасности topSafe, которая обеспечивает дополнительную защиту от взлома. Окно оборудовано автоматическим антиконденсатным вентиляционным клапаном V40Р и оснащено однокамерным энергосберегающим морозостойким стеклопакетом, в котором внешнее стекло – закаленное, внутреннее – с низкоэмиссионным покрытием. FTP-V U3 – в наличии до исчерпания складских запасов.</p> <p>В нашем интернет-магазине Вы также найдете шторки, маркизеты, ролеты к мансанрдным окнам любых размеров и видов.</p></div>",u,7 488,UAH,шт,https://images.ua.prom.st/494627687_w640_h640_cid1051305_pid347436393-a4805d20.jpg,+,938517140
Мансардное окно FAKRO Standart FTS-V U2 78x98 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Модель FTS-V U2 оснащена энергосберегающим стеклопакетом U2 с внешним закаленным стеклом и вентклапаном V10. </p> <p>Технические характеристики:</p> <ul> <li>Однокамерный энергосберегающий морозостойкий стеклопакет.</li> <li>Безопасность: во всех моделях внешнее стекло – закаленное. Применение специальных предохранителей не позволяет извлечь стеклопакет. Ручка, позволяющая фиксировать створку для проветривания, препятствует проникновению в помещение при открытом окне.</li> <li>Долговечность: изготовлены из высококачественной древесины сосны без сучков, пропитанной антисептиком в вакуумной камере и покрытой 2 слоями полиакрилового лака на водной основе.</li> <li>Всепогодная вентиляция: модель  --- FTS-V U2 оснащена эксклюзивным вентиляционным клапаном V10.</li> <li>Функциональность: удобная ручка, расположенная в нижней части оконной створки, позволяет легко открывать-закрывать мансардное окно и фиксировать его в двух положениях проветривания.</li> <li>Монтируются в крышу с углом наклона от 15 до 90°. </li> <li>Комплектуются изоляционным окладом, выбор которого зависит от типа кровельного покрытия. </li> <li>Окна дополняются широкой гаммой аксессуаров и приспособлений.</li> <li>Благодаря системе безопасности FAKRO topSafe окна для крыши соответствуют самым строгим Европейским нормам безопасности, являются одними из самых безопасных на рынке.</li> </ul></div>",u,5 265,UAH,шт,https://images.ua.prom.st/494627690_w640_h640_cid1051305_pid347436396-ca24061d.jpg,+,26100379
Гидроизоляционный оклад FAKRO ESV 78x140 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Оклад для плоских кровельных покрытий FAKRO ESV позволяет соединить окно с плоскими кровельными материалами: еврорубероид, кровельное железо,  ---епица.</p> ---</div>",u,1 404,UAH,шт,https://images.ua.prom.st/494627508_w640_h640_cid1051305_pid347436566-900d2232.jpg,+,150365378
Выход на крышу FAKRO FWR U3 правый 78x118 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Термоизоляционные окна FAKRO FWR/FWL имеют боковой способ открывания (на угол до 90°) и предназначены для установки в жилых отапливаемых помещениях. Окно может иметь правое FWL U3 (ручка слева) или левое FWR U3 (ручка справа) открывание. </p> <p>Окно оборудовано удобной ручкой, герметично закрывающей и фиксирующей его в двух положениях проветривания. Большие размеры позволяют легко и без риска выходить на крышу для ее обслуживания (ремонта кровли, очистки от снега или листьев).</p></div>",u,"9 289,80",UAH,шт,https://images.ua.prom.st/494631641_w640_h640_cid1051305_pid347436581-6ee89158.jpg,+,628207050
Штора ARS для мансардных окон FAKRO 78X140 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Штора ARS сокращает доступ света и дополняет интерьер помещения. Три пары креплений позволяют зафиксировать штору в разных положениях. Алюминиевая планка закрывает валик шторы, придавая конструкции эстетичный вид. Изготавливаeтся из полиэстеровой ткани.</p> <p>Большой выбор расцветок (однотонных и с рисунком), позволяет подобрать вариант, соответствующий дизайну помещения.</p> <p>В нашем магазине Вы найдете шторы ARS следующих цветов: белый, серый, светло-серый, бежевый, лимонный, оранжевый.</p></div>",u,936,UAH,шт,https://images.ua.prom.st/494627518_w640_h640_cid1051305_pid347436575-a4afc20b.jpg,+,945616224
Гидроизоляционный оклад для окон-вылазов FAKRO EZW-P 66x98 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Изоляционный оклад - обязательный элемент для всех мансардных окон, обеспечивающий герметичную установку окна в крышу.</p> <p>Изоляционный оклад подбирается в зависимости от вида кровельного покрытия - для плоских кровельных материалов (фальцевая кровля, битумная черепица и др.) или для  ---металлочерепица, профнастил и др.). </p></div>",u,"1 801,80",UAH,шт,https://images.ua.prom.st/813735686_w640_h640_cid1051305_pid347436585-dec6967c.jpg,+,853946409
Гидроизоляционный оклад для окон-вылазов FAKRO ESW 78x118 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Изоляционный оклад - обязательный элемент для всех мансардных окон, обеспечивающий герметичную установку окна в крышу.</p> <p>Изоляционный оклад подбирается в зависимости от вида кровельного покрытия - для плоских кровельных материалов (фальцевая кровля, битумная черепица и др.) или для  ---металлочерепица, профнастил и др.). </p></div>",u,"1 708,20",UAH,шт,https://images.ua.prom.st/494631643_w640_h640_cid1051305_pid347436584-f4acf0da.jpg,+,840513259
Гидро-пароизоляционный комплект XDK 78x118,Мансардные окна FAKRO,,u,,,шт,,+,118323408
Окно-люк FAKRO WSZ 86x86 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>  ----люк FAKRO WS предназначено для неотапливаемых нежилых мансардных помещений. Обеспечивает безопасный выход на крышу для проведения ремонтных или уборочных работ. Окно-люк – это окно с крышкой, изготовленной из поликарбоната, стойкого к воздействию окружающей среды. Крышка открывается по верхним петлям на угол до 180°, обеспечивая свободный выход на крышу, а также эффективное дополнительное  --- и возможность проветривания, благодаря двум положениям фиксации.</p></div>",u,"4 352,40",UAH,шт,https://images.ua.prom.st/494631650_w640_h640_cid1051305_pid347436591-8fdd1c8b.jpg,+,909780426
Мансардное окно ROTO R75 K 7x9 ПВХ,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>  --- R75 с поднятой на ¾ осью поворота - это уникальное решение от компании Roto. Благодаря смещенной оси выше центра, при открытии окна в помещении создается больше свободного пространства, что облегчает подход к окну и дает возможность его обслуживать стоя в полный рост. </p></div>",u,"8 878,43",UAH,шт,https://images.ua.prom.st/494631656_w640_h640_cid1051305_pid347436597-c6d3462e.jpg,+,393600380
Окно-люк FAKRO WSS 54x75 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>  ----люк FAKRO WS предназначено для неотапливаемых нежилых мансардных помещений. Обеспечивает безопасный выход на крышу для проведения ремонтных или уборочных работ. Окно-люк – это окно с крышкой, изготовленной из поликарбоната, стойкого к воздействию окружающей среды. Крышка открывается по верхним петлям на угол до 180°, обеспечивая свободный выход на крышу, а также эффективное дополнительное  --- и возможность проветривания, благодаря двум положениям фиксации.</p></div>",u,3 276,UAH,шт,https://images.ua.prom.st/494631647_w640_h640_cid1051305_pid347436588-01e8f49c.jpg,+,594623381
Мансардное окно ROTO R75 H 7x9 дерево,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>  --- R75 с поднятой на ¾ осью поворота - это уникальное решение от компании Roto. Благодаря смещенной оси выше центра, при открытии окна в помещении создается больше свободного пространства, что облегчает подход к окну и дает возможность его обслуживать стоя в полный рост. </p></div>",u,"8 077,91",UAH,шт,https://images.ua.prom.st/494631653_w640_h640_cid1051305_pid347436594-a5be1d8d.jpg,+,723239082
Мансардное окно FAKRO Standart FTS U2 78x98 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> --- FTS U2 — базовая модель в ассортименте Fakro. Это популярная конструкция окон с петлями посередине высоты окна. Изготовлено из сосновой древесины высокого качества (клееный брус), пропитанной антисептиком в вакуумной камере под давлением. Деревянные элементы покрыты 2 слоями экологического акрилового лака.</p> <p>Ручка, расположена в нижней части окна позволяет плотно закрыть окно или разместить раму в двух позициях, оставив щель между ней и оконной коробкой для доступа свежего воздуха в помещение. Энергосберегающий стеклопакет с низко эмиссионным слоем заполнен инертным газом – аргоном.</p> <p>Высокий уровень термоизоляции также обеспечивает система с 2 уплотнителей. Окно FTS U2 оборудовано вентиляционной щелью V10, которая обеспечивает доступ свежего воздуха в помещении при плотно закрытом окне. Производительность вентиляционной щели можно регулировать вручную в зависимости от потребности.<br/>  </p></div>",u,"4 937,40",UAH,шт,https://images.ua.prom.st/813735693_w640_h640_cid1051305_pid544358687-6b429161.jpg,+,552108788
Мансардное окно ROTO R45 H 7x9 дерево,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>  --- R45 класса стандарт. </p> <p>Окно Roto шумо-, влаго- и ветронепроницаемое. Имеет центральную ось поворота, бронированный стеклопакет с возможностью установки дополнительного теплоизоляционного оклада, который уменьшает теплопроводность до 15%. Легко моется как изнутри так и снаружи. Возможно открывание на проветривание.</p></div>",u,"5 239,73",UAH,шт,https://images.ua.prom.st/494631665_w640_h640_cid1051305_pid347436606-cbcb5c82.jpg,+,381017049
Гидроизоляционный оклад ROTO ZIE 7x9,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p> Незаменимым дополнением к  --- являются гидроизоляционные оклады, которые были разработаны для разных типов кровельных покрытий с целью обеспечения идеального соединения поверхности кровли с устанавливаемым  ---.</p></div>",u,"1 406,96",UAH,шт,https://images.ua.prom.st/494631659_w640_h640_cid1051305_pid347436600-62cc7de0.jpg,+,382291362
Гидроизоляционный оклад ROTO BTN 7x9,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p> Незаменимым дополнением к  --- являются гидроизоляционные оклады, которые были разработаны для разных типов кровельных покрытий с целью обеспечения идеального соединения поверхности кровли с устанавливаемым  ---.</p></div>",u,"1 188,64",UAH,шт,https://images.ua.prom.st/494631662_w640_h640_cid1051305_pid347436603-cc0f0182.jpg,+,208007526
Гидроизоляционный оклад для окон-вылазов FAKRO EZW-P 66x118 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Изоляционный оклад - обязательный элемент для всех мансардных окон, обеспечивающий герметичную установку окна в крышу.</p> <p>Изоляционный оклад подбирается в зависимости от вида кровельного покрытия - для плоских кровельных материалов (фальцевая кровля, битумная черепица и др.) или для  ---металлочерепица, профнастил и др.). </p></div>",u,1 989,UAH,шт,https://images.ua.prom.st/813735687_w640_h640_cid1051305_pid347436586-f1aa0c6a.jpg,+,381026933
