Название_позиции,Ключевые_слова,Описание,Тип_товара,Цена,Валюта,Единица_измерения,Ссылка_изображения,Наличие,Идентификатор_товара
"Отвод для сбора воды 130, белый 130/100",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для сбора дождевой воды для ее дальнейшего использования в домашнем хозяйстве. Откидная часть опускается и направляет воду из трубы в емкость, которую нужно наполнить.</p></div>",u,"361,13",UAH,шт,https://images.ua.prom.st/494609320_w640_h640_cid1051305_pid347435145-313856cc.jpg,+,719349076
"Держатель желоба Profil пласт. 130, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"40,34",UAH,шт,https://images.ua.prom.st/494609354_w640_h640_cid1051305_pid347435173-cf1b0a44.jpg,+,415100516
"Держатель желоба Profil пласт. 90, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"31,73",UAH,шт,https://images.ua.prom.st/494609373_w640_h640_cid1051305_pid347435180-4bb6e4a8.jpg,+,614021417
"Держатель трубы Profil пласт. L100 130, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"50,68",UAH,шт,https://images.ua.prom.st/494612491_w640_h640_cid1051305_pid347435208-7463718a.jpg,+,828809467
"Держатель трубы Profil метал. L100 130, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,58",UAH,шт,https://images.ua.prom.st/494609386_w640_h640_cid1051305_pid347435187-3d8aa506.jpg,+,641306300
"Держатель трубы Profil метал. L160 130, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"71,83",UAH,шт,https://images.ua.prom.st/494609401_w640_h640_cid1051305_pid347435195-1d48d616.jpg,+,859877424
"Держатель желоба Profil метал. 90, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494609337_w640_h640_cid1051305_pid347435160-6fbb9be0.jpg,+,894912973
"Отвод для сбора воды 130, коричневый 130/100",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для сбора дождевой воды для ее дальнейшего использования в домашнем хозяйстве. Откидная часть опускается и направляет воду из трубы в емкость, которую нужно наполнить.</p></div>",u,"361,13",UAH,шт,https://images.ua.prom.st/494609322_w640_h640_cid1051305_pid347435146-e341c920.jpg,+,548620328
"Держатель желоба Profil метал. мал. 130, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"43,05",UAH,шт,https://images.ua.prom.st/494609346_w640_h640_cid1051305_pid347435167-d5361e54.jpg,+,243229484
"Держатель желоба Profil метал. 130, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494609330_w640_h640_cid1051305_pid347435153-e51e9041.jpg,+,965031342
"Держатель трубы Profil пласт. L100 130, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"50,68",UAH,шт,https://images.ua.prom.st/494612493_w640_h640_cid1051305_pid347435209-dab85ee1.jpg,+,893353535
"Держатель желоба Profil пласт. 130, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"40,34",UAH,шт,https://images.ua.prom.st/494609356_w640_h640_cid1051305_pid347435174-d2cfe58f.jpg,+,612577506
"Держатель желоба Profil пласт. 90, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"31,73",UAH,шт,https://images.ua.prom.st/494609375_w640_h640_cid1051305_pid347435181-f035713a.jpg,+,505652733
"Держатель трубы Profil метал. L160 90, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"62,24",UAH,шт,https://images.ua.prom.st/494609422_w640_h640_cid1051305_pid347435201-0de2c94a.jpg,+,510180325
"Держатель трубы Profil метал. L100 90, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,09",UAH,шт,https://images.ua.prom.st/494609388_w640_h640_cid1051305_pid347435188-c58ca322.jpg,+,265581216
"Держатель желоба Profil метал. 90, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494609338_w640_h640_cid1051305_pid347435161-40aef215.jpg,+,47620853
"Отвод для сбора воды 130, белый 90/75",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для сбора дождевой воды для ее дальнейшего использования в домашнем хозяйстве. Откидная часть опускается и направляет воду из трубы в емкость, которую нужно наполнить.</p></div>",u,"325,21",UAH,шт,https://images.ua.prom.st/494609323_w640_h640_cid1051305_pid347435147-357dedd5.jpg,+,329011299
"Держатель желоба Profil метал. 130, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494609331_w640_h640_cid1051305_pid347435154-35810041.jpg,+,396153148
"Держатель трубы Profil метал. L160 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"71,83",UAH,шт,https://images.ua.prom.st/494609403_w640_h640_cid1051305_pid347435196-69fa0b32.jpg,+,858129154
"Держатель желоба Profil метал. мал. 90, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"35,18",UAH,шт,https://images.ua.prom.st/494609347_w640_h640_cid1051305_pid347435168-05e763ce.jpg,+,987498934
"Держатель желоба Profil пласт. 130, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"40,34",UAH,шт,https://images.ua.prom.st/494609359_w640_h640_cid1051305_pid347435175-29d2e877.jpg,+,982808430
"Держатель трубы Profil пласт. L100 130, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"50,68",UAH,шт,https://images.ua.prom.st/494612495_w640_h640_cid1051305_pid347435210-72c3a48a.jpg,+,360261206
"Держатель трубы Profil метал. L160 90, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"62,24",UAH,шт,https://images.ua.prom.st/494609423_w640_h640_cid1051305_pid347435202-185e7ba2.jpg,+,610921346
"Держатель трубы Profil метал. L100 90, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,09",UAH,шт,https://images.ua.prom.st/494609390_w640_h640_cid1051305_pid347435189-74f6995a.jpg,+,905098182
"Отвод для сбора воды 130, коричневый 90/75",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для сбора дождевой воды для ее дальнейшего использования в домашнем хозяйстве. Откидная часть опускается и направляет воду из трубы в емкость, которую нужно наполнить.</p></div>",u,"325,21",UAH,шт,https://images.ua.prom.st/494609325_w640_h640_cid1051305_pid347435148-5379c7bc.jpg,+,624454082
"Держатель желоба Profil метал. 130, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494609332_w640_h640_cid1051305_pid347435155-84e98517.jpg,+,685455658
"Держатель желоба Profil метал. 90, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494609339_w640_h640_cid1051305_pid347435162-5d3297a2.jpg,+,356369823
"Держатель желоба Profil пласт. 90, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"31,73",UAH,шт,https://images.ua.prom.st/494609377_w640_h640_cid1051305_pid347435182-1d989ae8.jpg,+,731698856
"Держатель желоба Profil метал. мал. 90, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"35,18",UAH,шт,https://images.ua.prom.st/494609349_w640_h640_cid1051305_pid347435169-5b508fa5.jpg,+,104982748
"Держатель трубы Profil пласт. L100 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"50,68",UAH,шт,https://images.ua.prom.st/494612497_w640_h640_cid1051305_pid347435211-004e237d.jpg,+,663923505
"Держатель трубы Profil метал. L160 130, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"71,83",UAH,шт,https://images.ua.prom.st/494609404_w640_h640_cid1051305_pid347435197-4fc65921.jpg,+,277185806
"Держатель трубы Profil метал. L220 130, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"77,98",UAH,шт,https://images.ua.prom.st/494612486_w640_h640_cid1051305_pid347435203-74aab7cc.jpg,+,475846979
"Горло желоба Profil 130, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Применяется для отвода дождевой воды в местах, где невозможно установить желоб.</p></div>",u,"180,07",UAH,шт,https://images.ua.prom.st/494609326_w640_h640_cid1051305_pid347435149-42c13e2a.jpg,+,302116705
"Держатель желоба Profil пласт. 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"40,34",UAH,шт,https://images.ua.prom.st/494609361_w640_h640_cid1051305_pid347435176-19ed3b64.jpg,+,551038174
"Держатель трубы Profil метал. L100 90, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,09",UAH,шт,https://images.ua.prom.st/494609392_w640_h640_cid1051305_pid347435190-8b69034d.jpg,+,860567112
"Держатель желоба Profil метал. мал. 130, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"43,05",UAH,шт,https://images.ua.prom.st/494609340_w640_h640_cid1051305_pid347435163-52b2993c.jpg,+,459988126
"Держатель желоба Profil метал. 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494609333_w640_h640_cid1051305_pid347435156-2202f6e7.jpg,+,259125704
"Держатель желоба Profil метал. мал. 90, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"35,18",UAH,шт,https://images.ua.prom.st/494609351_w640_h640_cid1051305_pid347435170-1b78fe87.jpg,+,783269990
"Держатель трубы Profil метал. L100 130, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,58",UAH,шт,https://images.ua.prom.st/494609379_w640_h640_cid1051305_pid347435183-e1bc89a0.jpg,+,595461901
"Держатель трубы Profil пласт. L100 130, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"50,68",UAH,шт,https://images.ua.prom.st/494612498_w640_h640_cid1051305_pid347435212-9af1da8c.jpg,+,483287689
"Держатель трубы Profil метал. L160 90, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"62,24",UAH,шт,https://images.ua.prom.st/494609408_w640_h640_cid1051305_pid347435198-aff4c7db.jpg,+,377240179
"Держатель трубы Profil метал. L220 130, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"77,98",UAH,шт,https://images.ua.prom.st/494609425_w640_h640_cid1051305_pid347435204-8effc4a7.jpg,+,142468985
"Горло желоба Profil 130, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Применяется для отвода дождевой воды в местах, где невозможно установить желоб.</p></div>",u,"180,07",UAH,шт,https://images.ua.prom.st/494609327_w640_h640_cid1051305_pid347435150-32356608.jpg,+,161386156
"Держатель трубы Profil метал. L100 90, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,09",UAH,шт,https://images.ua.prom.st/494609394_w640_h640_cid1051305_pid347435191-4680e14e.jpg,+,33633818
"Держатель желоба Profil метал. мал. 130, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"43,05",UAH,шт,https://images.ua.prom.st/494609342_w640_h640_cid1051305_pid347435164-ab5fc4a5.jpg,+,821379305
"Держатель желоба Profil пласт. 130, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"40,34",UAH,шт,https://images.ua.prom.st/494609363_w640_h640_cid1051305_pid347435177-b78d54f9.jpg,+,92634779
"Держатель желоба Profil метал. мал. 90, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"35,18",UAH,шт,https://images.ua.prom.st/494609352_w640_h640_cid1051305_pid347435171-97cc97f2.jpg,+,53308077
"Держатель трубы Profil пласт. L100 90, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494612500_w640_h640_cid1051305_pid347435213-2d43737a.jpg,+,739538108
"Держатель трубы Profil метал. L160 90, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"62,24",UAH,шт,https://images.ua.prom.st/494609413_w640_h640_cid1051305_pid347435199-7c896bfc.jpg,+,122087053
"Держатель трубы Profil метал. L100 130, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,58",UAH,шт,https://images.ua.prom.st/494609381_w640_h640_cid1051305_pid347435184-6e2473cb.jpg,+,13071419
"Держатель трубы Profil метал. L220 130, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"77,98",UAH,шт,https://images.ua.prom.st/494609427_w640_h640_cid1051305_pid347435205-19117775.jpg,+,550471736
"Держатель трубы Profil пласт. L100 90, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494612502_w640_h640_cid1051305_pid347435214-9e70e6af.jpg,+,5195695
"Держатель желоба Profil метал. 130, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494609334_w640_h640_cid1051305_pid347435157-a5e49d98.jpg,+,355242400
"Держатель желоба Profil пласт. 90, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления желоба к кровельной конструкции и задания необходимого уклона водосточной системы в целом. Монти ---оску или на торцах стропил.</p></div>",u,"31,73",UAH,шт,https://images.ua.prom.st/494609365_w640_h640_cid1051305_pid347435178-75213a80.jpg,+,547548019
"Держатель трубы Profil пласт. L160 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"64,70",UAH,шт,https://images.ua.prom.st/494612515_w640_h640_cid1051305_pid347435221-3a305505.jpg,+,497922523
"Держатель трубы Profil пласт. L220 130, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"77,98",UAH,шт,https://images.ua.prom.st/494612527_w640_h640_cid1051305_pid347435228-fb90e924.jpg,+,33168827
"Соединитель желоба Profil 130, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух желобов, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612540_w640_h640_cid1051305_pid347435235-ceaef3bf.jpg,+,131940177
"Соединитель желоба Profil 90, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух желобов, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612552_w640_h640_cid1051305_pid347435242-c4232402.jpg,+,55713178
"Держатель трубы Profil метал. L100 90, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,09",UAH,шт,https://images.ua.prom.st/494609395_w640_h640_cid1051305_pid347435192-3a7d99b6.jpg,+,842675505
"Держатель трубы Profil пласт. L100 90, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494612504_w640_h640_cid1051305_pid347435215-fb1e41fb.jpg,+,266981300
"Заглушка желоба Profil левая L 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Заглушка желоба левая - элемент водостока, который предотвращает протекание воды в местах, где заканчивается конструкция водосточного желоба. </p></div>",u,"48,22",UAH,шт,https://images.ua.prom.st/494612570_w640_h640_cid1051305_pid347435261-9fa3ef4f.jpg,+,542600617
"Держатель трубы Profil метал. L220 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"77,98",UAH,шт,https://images.ua.prom.st/494612488_w640_h640_cid1051305_pid347435206-595e1b54.jpg,+,800956568
"Соединитель трубы Profil 90, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух труб, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612560_w640_h640_cid1051305_pid347435249-d9aea215.jpg,+,97060112
"Держатель трубы Profil метал. L100 130, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,58",UAH,шт,https://images.ua.prom.st/494609383_w640_h640_cid1051305_pid347435185-c37fd268.jpg,+,67004222
"Держатель трубы Profil пласт. L160 130, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"64,70",UAH,шт,https://images.ua.prom.st/494612516_w640_h640_cid1051305_pid347435222-8a904127.jpg,+,712392917
"Соединитель желоба Profil 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух желобов, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612542_w640_h640_cid1051305_pid347435236-8f99632a.jpg,+,145064583
